j,1,1,札幌
j,2,2,函館
j,3,3,福島
j,4,4,新潟
j,5,5,東京
j,6,6,中山
j,7,7,中京
j,8,8,京都
j,9,9,阪神
j,10,10,小倉
n,10,35,盛岡
n,11,36,水沢
n,18,42,浦和
n,19,43,船橋
n,20,44,大井
n,21,45,川崎
n,22,46,金沢
n,23,47,笠松
n,24,48,名古屋
n,27,50,園田
n,31,54,高知
n,32,55,佐賀
n,36,30,門別
